t,v_raw,v_filtered,u,x,y,dt
5.199999999999989519e+00,1.501212016861145360e+00,1.501198139749011062e+00,1.100138374916527217e-01,-1.738251104249625456e+01,-8.445172585110814367e+00,4.999999999999982236e-02
5.249999999999989342e+00,1.500690426880153083e+00,1.500786321454326888e+00,1.114647189892145063e-01,-1.730749760647908175e+01,-8.448263247215969329e+00,4.999999999999982236e-02
5.299999999999989164e+00,1.500790520031062725e+00,1.500789727022350695e+00,1.112885835913990373e-01,-1.723247889158279733e+01,-8.451361273146130060e+00,4.999999999999982236e-02
5.349999999999988987e+00,1.500561023856500142e+00,1.500604220304821101e+00,1.118906053040853443e-01,-1.715747370007826333e+01,-8.454499536827594142e+00,4.999999999999982236e-02
5.399999999999988809e+00,1.500462200722869177e+00,1.500489024757025058e+00,1.122409847415414275e-01,-1.708247702001690271e+01,-8.457717524349574134e+00,4.999999999999982236e-02
5.449999999999988631e+00,1.500535526241336681e+00,1.500526743245454542e+00,1.119846675851583484e-01,-1.700748073996586385e+01,-8.461037954807753891e+00,4.999999999999982236e-02
5.499999999999988454e+00,1.500605724792072326e+00,1.500590807104841939e+00,1.116119567145743563e-01,-1.693248576423740204e+01,-8.464470896129842714e+00,4.999999999999982236e-02
5.549999999999988276e+00,1.500373830369772010e+00,1.500414811981410246e+00,1.122157694055231358e-01,-1.685750710431296540e+01,-8.467997483495405930e+00,4.999999999999982236e-02
5.599999999999988098e+00,1.500315839868860524e+00,1.500334533286282301e+00,1.124612367155928272e-01,-1.678253415694356931e+01,-8.471583696282086962e+00,4.999999999999982236e-02
5.649999999999987921e+00,1.500256147233049564e+00,1.500270952446107753e+00,1.126544099823850731e-01,-1.670756597454728976e+01,-8.475204261795104443e+00,4.999999999999982236e-02
5.699999999999987743e+00,1.500241711223253338e+00,1.500247234176847577e+00,1.126963421487621186e-01,-1.663260026499994382e+01,-8.478859789894450216e+00,4.999999999999982236e-02
5.749999999999987566e+00,1.500313328868823515e+00,1.500300845194032062e+00,1.124243457520321954e-01,-1.655763411259064100e+01,-8.482580088901617188e+00,4.999999999999982236e-02
5.799999999999987388e+00,1.500403432189908459e+00,1.500384056009218980e+00,1.120192619553365132e-01,-1.648266845242493872e+01,-8.486398896881222953e+00,4.999999999999982236e-02
5.849999999999987210e+00,1.500391442140622367e+00,1.500390047080601086e+00,1.119153911169813442e-01,-1.640771002138410850e+01,-8.490344043493637471e+00,4.999999999999982236e-02
5.899999999999987033e+00,1.500356484431194293e+00,1.500362823596833817e+00,1.119472242637025161e-01,-1.633276071092497617e+01,-8.494427708963579349e+00,4.999999999999982236e-02
5.949999999999986855e+00,1.500309166606869971e+00,1.500319301103195890e+00,1.120518678992260542e-01,-1.625782107304037893e+01,-8.498643793182944606e+00,4.999999999999982236e-02
5.999999999999986677e+00,1.500254575041811034e+00,1.500266800215674268e+00,1.122025000672814965e-01,-1.618289083696488007e+01,-8.502976110570878987e+00,4.999999999999982236e-02
6.049999999999986500e+00,1.500243668859123192e+00,1.500248037808036283e+00,1.122248558572392918e-01,-1.610796652121858230e+01,-8.507401262983778523e+00,4.999999999999982236e-02
6.099999999999986322e+00,1.500212323997600850e+00,1.500219069465076549e+00,1.122931570428006287e-01,-1.603304803194752282e+01,-8.511897002714047034e+00,4.999999999999982236e-02
6.149999999999986144e+00,1.500227860660908075e+00,1.500226200218495620e+00,1.122185982851304775e-01,-1.595813223713587448e+01,-8.516452093252427247e+00,4.999999999999982236e-02
6.199999999999985967e+00,1.500148617768950476e+00,1.500163271200877890e+00,1.124314162883996993e-01,-1.588322384688443911e+01,-8.521062980151388189e+00,4.999999999999982236e-02
6.249999999999985789e+00,1.500270273822430500e+00,1.500250063637779352e+00,1.120399258866461301e-01,-1.580831252756414607e+01,-8.525727471995589113e+00,4.999999999999982236e-02
6.299999999999985612e+00,1.500523214602974553e+00,1.500471623049757675e+00,1.110749182846371141e-01,-1.573338992283382787e+01,-8.530418495827071013e+00,4.999999999999982236e-02
6.349999999999985434e+00,1.500206222266141198e+00,1.500256349999140371e+00,1.118652373863868732e-01,-1.565848406559518935e+01,-8.535115823790714984e+00,4.999999999999982236e-02
6.399999999999985256e+00,1.500014651758945217e+00,1.500060302659766975e+00,1.126206685940405183e-01,-1.558358919920780394e+01,-8.539832774316083785e+00,4.999999999999982236e-02
6.449999999999985079e+00,1.500301186928349351e+00,1.500255689766906819e+00,1.118026836831841342e-01,-1.550868163420525470e+01,-8.544582965146709341e+00,4.999999999999982236e-02
6.499999999999984901e+00,1.500522229273194341e+00,1.500471886463264237e+00,1.108586260261948953e-01,-1.543376417020694724e+01,-8.549358877230030629e+00,4.999999999999982236e-02
6.549999999999984723e+00,1.500073008021800547e+00,1.500148346427890855e+00,1.120952605848843930e-01,-1.535887129546753371e+01,-8.554155758790297881e+00,4.999999999999982236e-02
6.599999999999984546e+00,1.500206238176914786e+00,1.500195303837918548e+00,1.118710811108698522e-01,-1.528397102794534490e+01,-8.558943921385871789e+00,4.999999999999982236e-02
6.649999999999984368e+00,1.500218987649967195e+00,1.500214514355689088e+00,1.117516182798392599e-01,-1.520907071111879816e+01,-8.563743869364873973e+00,4.999999999999982236e-02
6.699999999999984190e+00,1.499968301692331085e+00,1.500014805257549266e+00,1.125307705385710788e-01,-1.513418488766196468e+01,-8.568564250732684684e+00,4.999999999999982236e-02
6.749999999999984013e+00,1.500335419451146679e+00,1.500274863252052615e+00,1.114555355050488306e-01,-1.505928129426065354e+01,-8.573409284780487027e+00,4.999999999999982236e-02
6.799999999999983835e+00,1.500180462342724175e+00,1.500198292371382136e+00,1.117145654702841329e-01,-1.498438747944293858e+01,-8.578283718143413950e+00,4.999999999999982236e-02
6.849999999999983658e+00,1.499962090768053535e+00,1.500006703488273363e+00,1.124635832585326733e-01,-1.490950731913973115e+01,-8.583186939179405783e+00,4.999999999999982236e-02
6.899999999999983480e+00,1.500244759840102748e+00,1.500199796803141750e+00,1.116661044323852270e-01,-1.483461423122117218e+01,-8.588117087904018732e+00,4.999999999999982236e-02
6.949999999999983302e+00,1.500154652110369691e+00,1.500163178841432021e+00,1.117758884833135458e-01,-1.475972707533742856e+01,-8.593070170557515652e+00,4.999999999999982236e-02
6.999999999999983125e+00,1.499933079312008255e+00,1.499976539499340733e+00,1.125117384112445107e-01,-1.468485236179776621e+01,-8.598034174263297302e+00,4.999999999999982236e-02
7.049999999999982947e+00,1.500431538132815712e+00,1.500345599991627976e+00,1.109949894223586364e-01,-1.460994926286196893e+01,-8.602964984021102879e+00,4.999999999999982236e-02
7.099999999999982769e+00,1.500192158418997890e+00,1.500221139788528779e+00,1.114368785318939903e-01,-1.453505130901242559e+01,-8.607781401340117711e+00,4.999999999999982236e-02
7.149999999999982592e+00,1.499914077092687537e+00,1.499972073744473500e+00,1.124181568441134926e-01,-1.446015740295407781e+01,-8.612426049096379543e+00,4.999999999999982236e-02
7.199999999999982414e+00,1.500109694614433442e+00,1.500083701389656632e+00,1.119636883534649296e-01,-1.438524056689394470e+01,-8.616867393997052815e+00,4.999999999999982236e-02
7.249999999999982236e+00,1.500088679565909189e+00,1.500087739309868606e+00,1.119297861077638290e-01,-1.431031322012554696e+01,-8.621116022808617885e+00,4.999999999999982236e-02
7.299999999999982059e+00,1.500032142474757135e+00,1.500042643360504746e+00,1.120976236005299942e-01,-1.423538025548040409e+01,-8.625212025991833897e+00,4.999999999999982236e-02
7.349999999999981881e+00,1.500054721857462248e+00,1.500052440524068054e+00,1.120484406213977380e-01,-1.416044060366264645e+01,-8.629207109081360016e+00,4.999999999999982236e-02
7.399999999999981704e+00,1.499989563169309204e+00,1.500001439167593986e+00,1.122479018882319712e-01,-1.408550125108878603e+01,-8.633142685209659106e+00,4.999999999999982236e-02
7.449999999999981526e+00,1.499889444149055340e+00,1.499910597275696755e+00,1.126221337312232063e-01,-1.401056522839898832e+01,-8.637038569944765598e+00,4.999999999999982236e-02
7.499999999999981348e+00,1.499834734232071476e+00,1.499849062910169284e+00,1.128942611348209279e-01,-1.393562979989624750e+01,-8.640888923892191542e+00,4.999999999999982236e-02
7.549999999999981171e+00,1.499867974174472263e+00,1.499864402298026755e+00,1.128621336008447384e-01,-1.386068946677346858e+01,-8.644674939780550460e+00,4.999999999999982236e-02
7.599999999999980993e+00,1.499939521817483357e+00,1.499925333572960984e+00,1.126388749332069006e-01,-1.378574072427959685e+01,-8.648365858326867439e+00,4.999999999999982236e-02
7.649999999999980815e+00,1.499983491920989120e+00,1.499972507227945284e+00,1.124597764643041620e-01,-1.371078369176864342e+01,-8.651931375465611751e+00,4.999999999999982236e-02
7.699999999999980638e+00,1.500034085885377566e+00,1.500022455179333081e+00,1.122595154344749879e-01,-1.363581742565970956e+01,-8.655356327639250225e+00,4.999999999999982236e-02
7.749999999999980460e+00,1.500038653440593395e+00,1.500035593984232918e+00,1.122007169852212716e-01,-1.356084452367769089e+01,-8.658641430310128229e+00,4.999999999999982236e-02
7.799999999999980282e+00,1.499981444281592857e+00,1.499991671839322471e+00,1.123744644422355332e-01,-1.348586920042443715e+01,-8.661803752533462131e+00,4.999999999999982236e-02
7.849999999999980105e+00,1.499913865594546758e+00,1.499928561295933216e+00,1.126363772495871940e-01,-1.341089312925532262e+01,-8.664864312914311029e+00,4.999999999999982236e-02
7.899999999999979927e+00,1.499893973594770280e+00,1.499900506367678243e+00,1.127667704198955789e-01,-1.333591504152448337e+01,-8.667844339205286630e+00,4.999999999999982236e-02
7.949999999999979750e+00,1.499981927207548971e+00,1.499966548797334820e+00,1.125149965669147711e-01,-1.326092960508050211e+01,-8.670754813716310849e+00,4.999999999999982236e-02
7.999999999999979572e+00,1.499959122520288402e+00,1.499960525162842506e+00,1.125467269096299683e-01,-1.318594237072428221e+01,-8.673584668892749150e+00,4.999999999999982236e-02
8.049999999999979394e+00,1.499966957236280596e+00,1.499965742374532507e+00,1.125333545334925578e-01,-1.311095147608047640e+01,-8.676323345595902126e+00,4.999999999999982236e-02
